ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
257,66,1,4,6,58,4,3,34,3,5,2,1,2,NA,NA,NA,NA,NA,66,4,4,1,1,2,NA,4,NA,NA,NA,40,30,10,20,0,NA,NA,18,3,6,5,75,4,4,1,1,2,NA,4,NA,NA,NA,40,30,10,10,10,0,0,38,3,5,6
258,43,2,2,3,29,4,4,2,2,0,1,1,NA,NA,NA,NA,NA,NA,13,4,4,1,1,NA,NA,NA,NA,NA,NA,40,30,0,30,0,NA,NA,33,1,2,0,50,4,3,1,1,NA,NA,NA,NA,NA,NA,90,0,0,10,0,0,0,15,1,0,0
259,42,1,5,5,71,4,4,26,3,0,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,50,2,6,5,45,5,5,67,4,10,10,1,NA,NA,NA,NA,NA,NA,33,4,4,2,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,30,1,10,10,16,4,4,2,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,4,5,10,5
261,59,2,6,8,14,3,3,59,2,5,2,1,NA,NA,4,NA,NA,NA,5,4,3,1,1,2,NA,4,NA,NA,NA,30,40,5,20,5,NA,NA,70,1,6,3,15,4,3,1,1,2,NA,4,NA,NA,NA,20,70,0,10,0,0,0,70,2,3,3
262,34,1,5,5,50,3,3,7,0,0,0,NA,NA,3,NA,NA,NA,NA,50,4,4,1,NA,NA,NA,4,NA,NA,NA,20,0,30,0,50,NA,NA,1,2,1,1,50,3,4,1,1,NA,NA,NA,NA,NA,NA,50,0,0,0,50,0,0,1,0,0,0
263,46,2,4,5,61,4,4,0,1,6,4,NA,2,NA,NA,NA,NA,NA,76,4,4,1,1,2,NA,NA,NA,NA,NA,30,70,0,0,0,NA,NA,35,1,6,7,62,4,4,1,NA,2,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,35,1,1,5
264,59,1,3,6,75,4,5,5,2,1,6,1,2,NA,4,NA,NA,NA,20,4,4,1,1,NA,3,4,NA,NA,NA,30,10,50,5,5,NA,NA,5,2,4,6,10,4,3,1,1,NA,3,4,NA,NA,NA,30,5,50,10,5,0,0,5,2,7,5
265,50,1,4,5,50,4,3,0,0,8,5,1,NA,NA,NA,NA,NA,NA,39,5,4,1,1,NA,NA,NA,NA,NA,NA,90,5,0,5,0,NA,NA,21,0,5,3,50,4,3,1,1,NA,NA,NA,NA,NA,NA,80,5,5,5,5,0,0,26,0,4,5
266,29,1,3,10,65,3,4,80,6,8,6,1,2,NA,NA,5,NA,NA,41,2,4,1,1,2,NA,NA,5,NA,NA,30,40,0,0,30,NA,NA,91,6,7,6,30,4,4,1,NA,2,NA,NA,NA,NA,NA,10,70,0,0,20,0,0,100,6,7,6
